"price","size_m2","rooms","city","type","condition","price2","size2","unit_price"
"23 M Ft ","35  m2","2 szoba ","Debrecen ","panellakás","Jó állapotú",23,35,0.657142857142857
"12 M Ft ","57  m2","2 szoba ","Dunaújváros ","panellakás","Jó állapotú",12,57,0.210526315789474
"18,6 M Ft ","52  m2","2 szoba ","Székesfehérvár ","panellakás","Jó állapotú",18.6,52,0.357692307692308
"32,8 M Ft ","62  m2","2 és fél szoba ","Budapest, XX. kerület ","panellakás","Jó állapotú",32.8,62,0.529032258064516
"11 M Ft ","36  m2","1 szoba ","Várpalota ","panellakás","Jó állapotú",11,36,0.305555555555556
"11 M Ft ","36  m2","1 szoba ","Várpalota ","panellakás","Jó állapotú",11,36,0.305555555555556
"32,9 M Ft ","60  m2","2 és fél szoba ","Budapest, IV. kerület ","panellakás","felújítandó",32.9,60,0.548333333333333
"21,9 M Ft ","56  m2","2 szoba ","Nyíregyháza ","panellakás","Újszerû állapotú",21.9,56,0.391071428571429
"27,8 M Ft ","53  m2","2 szoba ","Budapest, IV. kerület ","panellakás","felújítandó",27.8,53,0.524528301886792
"39,9 M Ft ","58  m2","1 és 2 fél szoba ","Budapest, XIII. kerület ","panellakás","Jó állapotú",39.9,58,0.687931034482759
"22,5 M Ft ","48  m2","2 szoba ","Kecskemét ","tégla építésû","felújítandó",22.5,48,0.46875
"22,5 M Ft ","48  m2","2 szoba ","Kecskemét ","tégla építésû","felújítandó",22.5,48,0.46875
"10 M Ft ","52  m2","2 szoba ","Tokaj ","tégla építésû","Jó állapotú",10,52,0.192307692307692
"4,6 M Ft ","57  m2","2 szoba ","Kazincbarcika ","tégla építésû","Jó állapotú",4.6,57,0.0807017543859649
"3,5 M Ft ","71  m2","2 szoba ","Szarvas ","tégla építésû","Jó állapotú",3.5,71,0.0492957746478873
"17,9 M Ft ","50  m2","2 szoba ","Kaposvár ","panellakás","Jó állapotú",17.9,50,0.358
"30,8 M Ft ","115  m2","1 és 3 fél szoba ","Szolnok ","tégla építésû","Jó állapotú",30.8,115,0.267826086956522
"1,8 M Ft ","46  m2","1 szoba ","Ajka ","tégla építésû","Jó állapotú",1.8,46,0.0391304347826087
"4 M Ft ","21  m2","1 szoba ","Kazincbarcika ","tégla építésû","Jó állapotú",4,21,0.19047619047619
"29,8 M Ft ","60  m2","2 és fél szoba ","Budapest, XVIII. kerület ","panellakás","Jó állapotú",29.8,60,0.496666666666667
"53,5 M Ft ","72  m2","3 szoba ","Szeged ","tégla építésû","Új építésû",53.5,72,0.743055555555556
"51,6 M Ft ","68  m2","3 szoba ","Szeged ","tégla építésû","Új építésû",51.6,68,0.758823529411765
"31,5 M Ft ","61  m2","2 és fél szoba ","Budapest, X. kerület ","tégla építésû",NA,31.5,61,0.516393442622951
"50,9 M Ft ","49  m2","1 szoba ","Debrecen ","tégla építésû","Felújított állapotú",50.9,49,1.03877551020408
"23,9 M Ft ","40  m2","1 és fél szoba ","Pécs ","tégla építésû","Felújított állapotú",23.9,40,0.5975
"35 M Ft ","54  m2","1 és 2 fél szoba ","Budapest, XXI. kerület ","panellakás","Jó állapotú",35,54,0.648148148148148
"23,9 M Ft ","40  m2","1 és fél szoba ","Pécs ","tégla építésû","Felújított állapotú",23.9,40,0.5975
"41,5 M Ft ","59  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,41.5,59,0.703389830508475
"29,9 M Ft ","54  m2","2 szoba ","Budapest, X. kerület ","tégla építésû",NA,29.9,54,0.553703703703704
"32,9 M Ft ","55  m2","1 és 2 fél szoba ","Budapest, XV. kerület ","panellakás","felújítandó",32.9,55,0.598181818181818
"30 M Ft ","44  m2","2 szoba ","Budapest, X. kerület ","tégla építésû","Jó állapotú",30,44,0.681818181818182
